fruits	vegetables	sodas	water	juice	ice-creams
fruits	Azan	240	1.00	16.33	
fruits	Apple	60	1.00	59.32	
fruits	Akee	60	1.00	61.56	
fruits	Apricot	270	1.00	97.45	
fruits	Avocado	240	1.00	23.31	
fruits	Banana	180	1.00	21.88	
fruits	Bilberry	30	1.00	39.17	
fruits	Blackberry	30	1.00	63.19	
fruits	Blackcurrant	300	1.00	24.28	
fruits	Black sapote	270	1.00	19.63	
fruits	Blueberry	180	1.00	16.60	
fruits	Boysenberry	210	1.00	36.16	
fruits	Buddha's hand	90	1.00	26.79	
fruits	Crab apples	30	1.00	22.25	
fruits	Currant	150	1.00	67.77	
fruits	Cherry	180	1.00	29.28	
fruits	Cherimoya	240	1.00	27.76	
fruits	Chico fruit	30	1.00	29.71	
fruits	Cloudberry	240	1.00	79.27	
fruits	Coconut	120	1.00	34.54	
fruits	Cranberry	90	1.00	78.57	
fruits	Cucumber	60	1.00	19.73	
fruits	Damson	60	1.00	98.09	
fruits	Date	270	1.00	6.61	
fruits	Dragonfruit	180	1.00	43.91	
fruits	Durian	210	1.00	74.41	
fruits	Elderberry	150	1.00	84.30	
fruits	Feijoa	120	1.00	85.04	
fruits	Fig	270	1.00	94.11	
fruits	Goji berry	150	1.00	15.06	
fruits	Gooseberry	270	1.00	60.63	
fruits	Grape	150	1.00	80.88	
fruits	Raisin	120	1.00	26.03	
fruits	Grapefruit	60	1.00	77.51	
fruits	Guava	120	1.00	77.57	
fruits	Honeyberry	90	1.00	29.71	
fruits	Huckleberry	120	1.00	12.79	
fruits	Jabuticaba	180	1.00	97.17	
fruits	Jackfruit	180	1.00	60.47	
fruits	Jambul	30	1.00	1.93	
fruits	Japanese plum	60	1.00	16.38	
fruits	Jostaberry	120	1.00	28.02	
fruits	Jujube	270	1.00	2.68	
fruits	Juniper berry	60	1.00	69.51	
fruits	Kiwano	60	1.00	38.13	
fruits	Kiwifruit	300	1.00	65.16	
fruits	Kumquat	180	1.00	55.13	
fruits	Lemon	90	1.00	42.38	
fruits	Lime	150	1.00	33.94	
fruits	Loquat	240	1.00	15.14	
fruits	Longan	30	1.00	53.50	
fruits	Lychee	300	1.00	50.61	
fruits	Mango	270	1.00	53.90	
fruits	Mangosteen	270	1.00	46.31	
fruits	Marionberry	240	1.00	21.24	
fruits	Melon	120	1.00	50.49	
fruits	Cantaloupe	240	1.00	96.61	
fruits	Honeydew	90	1.00	57.60	
fruits	Watermelon	60	1.00	14.59	
fruits	Miracle fruit	60	1.00	14.96	
fruits	Mulberry	180	1.00	40.51	
fruits	Nectarine	150	1.00	13.85	
fruits	Nance	300	1.00	13.77	
fruits	Olive	90	1.00	77.45	
fruits	Orange	300	1.00	57.68	
fruits	Blood orange	210	1.00	88.48	
fruits	Clementine	270	1.00	94.39	
fruits	Mandarine	270	1.00	1.64	
fruits	Tangerine	240	1.00	88.39	
fruits	Papaya	300	1.00	19.57	
vegetables	artichoke	180	1.00	12.75	
vegetables	aubergine	270	1.00	7.17	
vegetables	asparagus	210	1.00	80.52	
vegetables	legumes	270	1.00	50.97	
vegetables	alfalfa sprouts	30	1.00	5.85	
vegetables	azuki beans	90	1.00	87.14	
vegetables	bean sprouts	30	1.00	17.68	
vegetables	black beans	120	1.00	2.22	
vegetables	black-eyed peas	150	1.00	55.89	
vegetables	borlotti bean	300	1.00	20.25	
vegetables	broad beans	210	1.00	51.65	
vegetables	chickpeas	120	1.00	22.91	
vegetables	green beans	150	1.00	51.56	
vegetables	kidney beans	120	1.00	54.26	
vegetables	lentils	90	1.00	12.20	
vegetables	lima beans	120	1.00	85.18	
vegetables	mung beans	60	1.00	7.32	
vegetables	navy beans	60	1.00	60.10	
vegetables	pinto beans	300	1.00	26.65	
vegetables	runner beans	60	1.00	62.29	
vegetables	split peas	120	1.00	52.73	
vegetables	soy beans	270	1.00	49.49	
vegetables	peas	210	1.00	39.69	
vegetables	mangetout	300	1.00	88.90	
vegetables	broccoflower	210	1.00	19.24	
vegetables	broccoli	240	1.00	47.61	
vegetables	brussels sprouts	30	1.00	82.99	
vegetables	cabbage	180	1.00	36.96	
vegetables	kohlrabi	30	1.00	14.14	
vegetables	cauliflower	60	1.00	24.85	
vegetables	celery	210	1.00	48.28	
vegetables	endive	180	1.00	32.90	
vegetables	fiddleheads	180	1.00	86.76	
vegetables	frisee	240	1.00	14.35	
vegetables	fennel	240	1.00	18.73	
vegetables	greens	90	1.00	37.82	
vegetables	beet greens	180	1.00	93.94	
vegetables	bok choy	300	1.00	9.22	
vegetables	chard	30	1.00	16.26	
vegetables	collard greens	120	1.00	18.50	
vegetables	kale	90	1.00	13.86	
vegetables	mustard greens	210	1.00	97.94	
vegetables	spinach	90	1.00	2.56	
vegetables	herbs and spices	270	1.00	70.11	
vegetables	anise	300	1.00	83.55	
vegetables	basil	30	1.00	22.31	
vegetables	caraway	90	1.00	73.87	
vegetables	cilantro	90	1.00	93.62	
vegetables	chamomile	180	1.00	63.34	
vegetables	dill	300	1.00	29.32	
vegetables	lavender	30	1.00	72.77	
vegetables	lemon Grass	60	1.00	42.05	
vegetables	marjoram	90	1.00	83.54	
vegetables	oregano	90	1.00	24.05	
vegetables	parsley	120	1.00	12.48	
vegetables	rosemary	60	1.00	74.25	
vegetables	sage	180	1.00	55.46	
vegetables	thyme	240	1.00	59.70	
vegetables	lettuce	30	1.00	33.34	
vegetables	arugula	30	1.00	85.22	
vegetables	mushrooms	90	1.00	5.57	
vegetables	nettles	300	1.00	29.17	
