CATEGORY,PRODUCT,EXP DATE,WEIGHT,PRICE
FRUITS,Azan,150,1.00,60.78
FRUITS,Apple,300,1.00,78.32
FRUITS,Akee,120,1.00,10.38
FRUITS,Apricot,270,1.00,74.51
FRUITS,Avocado,180,1.00,88.90
FRUITS,Banana,120,1.00,52.66
FRUITS,Bilberry,300,1.00,37.53
FRUITS,Blackberry,90,1.00,41.11
FRUITS,Blackcurrant,120,1.00,14.10
FRUITS,Black sapote,270,1.00,42.12
FRUITS,Blueberry,60,1.00,43.33
FRUITS,Boysenberry,240,1.00,25.73
FRUITS,Buddha's hand,270,1.00,38.42
FRUITS,Crab apples,90,1.00,32.53
FRUITS,Currant,60,1.00,30.63
FRUITS,Cherry,90,1.00,81.88
FRUITS,Cherimoya,300,1.00,17.52
FRUITS,Chico fruit,30,1.00,55.46
FRUITS,Cloudberry,180,1.00,91.40
FRUITS,Coconut,180,1.00,19.10
FRUITS,Cranberry,300,1.00,91.11
FRUITS,Cucumber,30,1.00,3.63
FRUITS,Damson,180,1.00,10.59
FRUITS,Date,120,1.00,97.32
FRUITS,Dragonfruit,120,1.00,44.64
FRUITS,Durian,60,1.00,42.99
FRUITS,Elderberry,120,1.00,99.33
FRUITS,Feijoa,180,1.00,7.95
FRUITS,Fig,300,1.00,90.51
FRUITS,Goji berry,90,1.00,28.89
FRUITS,Gooseberry,270,1.00,32.28
FRUITS,Grape,270,1.00,48.92
FRUITS,Raisin,300,1.00,97.53
FRUITS,Grapefruit,90,1.00,61.46
FRUITS,Guava,90,1.00,83.20
FRUITS,Honeyberry,270,1.00,29.52
FRUITS,Huckleberry,90,1.00,17.72
FRUITS,Jabuticaba,270,1.00,49.57
FRUITS,Jackfruit,120,1.00,41.96
FRUITS,Jambul,30,1.00,4.47
FRUITS,Japanese plum,300,1.00,54.19
FRUITS,Jostaberry,300,1.00,3.40
FRUITS,Jujube,120,1.00,74.69
FRUITS,Juniper berry,300,1.00,4.75
FRUITS,Kiwano,60,1.00,23.97
FRUITS,Kiwifruit,270,1.00,73.10
