CATEGORY,PRODUCT,EXP DATE,WEIGHT,PRICE
fruits,apple,62,1,6.03
fruits,banana,30,1,12.53
fruits,cherry,16,1,25
fruits,coconut,365,0.45,11.73
fruits,grape,16,1,8.98
fruits,lemon,30,1,7.33
fruits,kiwi,16,1,15.08
fruits,lime,30,1,9.44
vegetables,cabbage,30,1,5
vegetables,fennel,62,1,15.66
vegetables,akra,90,1,10.11
vegetables,leek,90,1,7.22
vegetables,garlic,90,0.3,5.71
vegetables,sweet potato,365,1,4.77
ice-creams,chocolate,128,0.33,3.12
ice-creams,lime,128,0.33,3.87
ice-creams,vanilla,128,0.33,2.98
water,standard,90,0.9,7.32
water,with c2o,180,0.9,9.12
soda,coca-cola,180,0.33,7.99
soda,pepsi,180,0.33,8.59
soda,sprite,180,0.33,4.99
soda,fanta,180,0.33,8.19
soda,zjyvhcik,180,1.33,5.49
